Date,Open,High,Low,Close,Volume
12-05-2022,27.31,27.48,25.44,25.56,"49,73,747"
12-02-2022,26.25,27.87,26.11,27.52,"45,77,177"
12-01-2022,26,27.5,25.18,26.6,"76,15,154"
11/30/2022,25.9,26.23,24.91,26.21,"37,31,072"
11/29/2022,25.58,26.35,25.32,25.6,"20,29,480"
11/28/2022,25.79,26.44,25.21,25.29,"24,53,744"
11/25/2022,26.5,27.05,26.14,26.17,"11,22,700"
11/23/2022,25.92,27.14,25.92,26.7,"27,37,491"
11/22/2022,25.13,26.45,24.7,26.3,"42,40,402"
11/21/2022,26.66,27.83,24.86,25.16,"44,43,252"
11/18/2022,28.16,28.7,26.83,27.6,"30,87,420"
11/17/2022,26.3,27.76,26.15,27.76,"24,77,693"
11/16/2022,26.62,27.35,26.37,27.14,"24,52,335"
11/15/2022,26.59,28.24,26.27,27.59,"53,91,975"
11/14/2022,26.3,27.38,25.61,26.05,"43,50,537"
11-11-2022,24.78,26.12,24.15,26.1,"39,86,182"
11-10-2022,24.62,25.7,23.91,24.88,"61,06,952"
11-09-2022,24.55,24.67,21.89,23.11,"84,64,777"
11-08-2022,25.33,25.85,24.11,25.14,"46,95,117"
11-07-2022,26.25,26.3,24.8,25.76,"33,03,627"
11-04-2022,26.6,27.03,25.34,26.51,"41,37,984"
11-03-2022,26,27.29,26,26.29,"33,84,428"
11-02-2022,27.9,28.75,26.5,26.62,"41,43,900"
11-01-2022,29.4,29.69,27.62,28.39,"51,47,499"
10/31/2022,31.22,34.99,27.91,28.31,"2,40,27,609"
10/28/2022,26.88,28.79,26.42,28.17,"80,89,647"
10/27/2022,25.75,26.33,25.2,25.93,"24,22,933"
10/26/2022,26.37,27.48,25.32,25.42,"38,66,779"
10/25/2022,24.82,27.79,24.8,26.87,"77,91,571"
10/24/2022,25,25.19,24.11,24.71,"31,14,308"
10/21/2022,24.15,25.33,24.1,25.3,"30,36,299"
10/20/2022,24.65,25.45,24.07,24.41,"51,48,627"
10/19/2022,26,26.18,24.27,24.54,"53,18,442"
10/18/2022,27.1,27.74,26.13,26.67,"44,02,577"
10/17/2022,25.37,26.41,25.24,25.96,"31,72,241"
10/14/2022,25.77,26.37,24.63,24.63,"27,78,436"
10/13/2022,24.42,26.59,23.91,25.56,"35,16,164"
10-12-2022,25.96,26.89,25.27,25.36,"32,84,353"
10-11-2022,24.87,26.3,23.95,25.27,"41,95,897"
10-10-2022,25.37,26.5,24.75,25,"29,17,594"
10-07-2022,25.84,25.84,24.42,25.35,"32,70,565"
10-06-2022,26.29,27,25.8,25.99,"24,18,721"
10-05-2022,26.77,26.98,25.43,26.39,"29,86,448"
10-04-2022,25.95,27.83,25.95,27.6,"45,81,855"
10-03-2022,25.14,25.63,24.21,25.38,"26,53,852"
09/30/2022,25.03,25.82,24.44,25.13,"31,48,331"
09/29/2022,27.08,27.69,24.69,25.46,"41,18,215"
09/28/2022,25.89,27.5,25.62,27.31,"26,30,051"
09/27/2022,25.47,26.39,25.13,26.13,"44,87,179"
09/26/2022,24.66,25.87,24.12,24.48,"34,40,279"
09/23/2022,24.15,25.15,24.06,25.04,"36,22,430"
09/22/2022,27.17,27.27,24.38,24.7,"43,46,547"
09/21/2022,27.45,28.99,26.77,26.86,"38,59,156"
09/20/2022,29.28,29.33,27.18,27.54,"31,45,901"
09/19/2022,28.34,29.65,28.15,28.96,"34,03,984"
09/16/2022,28.33,28.8,27.78,28.64,"46,56,038"
09/15/2022,27.86,29.07,27.86,28.61,"33,29,490"
09/14/2022,27.56,28.45,26.65,28.13,"36,05,752"
09/13/2022,27.4,28.61,27.32,27.85,"36,57,164"
09-12-2022,29.03,30.34,28,29.24,"61,75,210"
09-09-2022,26.3,29.08,26.1,28.92,"79,16,490"
09-08-2022,25,26.74,24.07,25.83,"1,41,42,210"
09-07-2022,24.73,25.19,23.42,24.04,"1,25,04,680"
09-06-2022,25.75,26.72,24.67,25.14,"70,10,190"
09-02-2022,28.26,28.74,26.93,27.36,"46,80,123"
09-01-2022,28,28.91,26.95,27.63,"52,93,858"
08/31/2022,29.25,29.96,28.26,28.64,"51,57,027"
08/30/2022,31.62,31.87,29.42,29.84,"50,60,206"
08/29/2022,30.48,32.75,30.38,31.55,"42,92,686"
08/26/2022,31.5,32.38,30.63,30.94,"42,97,295"
08/25/2022,32.84,32.89,31.5,31.96,"47,26,286"
08/24/2022,34,34.94,32.44,32.5,"56,20,333"
08/23/2022,34.7,34.99,33.45,33.53,"48,36,309"
08/22/2022,34.31,36.2,34.2,34.5,"57,98,630"
08/19/2022,35.18,37.19,34.67,36.49,"95,51,861"
08/18/2022,39.27,40.07,37.34,37.93,"81,45,446"
08/17/2022,42.18,44.36,40.41,40.52,"97,66,448"
08/16/2022,39.17,45.53,38.6,42.19,"2,36,02,779"
08/15/2022,39.75,40.39,38.81,39.68,"52,43,088"
08-12-2022,40,41.43,39.15,40.74,"51,20,040"
08-11-2022,40.91,41.97,39.35,39.45,"51,40,480"
08-10-2022,42,42,38.63,40.53,"54,34,675"
08-09-2022,42.14,43.19,39,40.37,"69,54,188"
08-08-2022,41.29,47.99,40.75,43.45,"1,80,45,600"
08-05-2022,37.37,40.43,36.56,40.02,"81,24,235"
08-04-2022,38.34,39.89,37.89,38.36,"54,21,500"
08-03-2022,36.22,38.01,36,37.93,"51,86,482"
08-02-2022,35.9,36.8,35.12,35.84,"46,97,134"
08-01-2022,33.8,35.71,33.77,34.78,"41,96,630"
07/29/2022,33.68,34.79,33.06,34.01,"39,88,750"
07/28/2022,33.39,34.43,32.66,33.84,"32,07,363"
07/27/2022,32.96,34.12,32.16,33.78,"42,51,215"
07/26/2022,32.87,33.31,32.1,32.43,"48,66,070"
07/25/2022,35,35.51,33.25,33.98,"56,86,259"
07/22/2022,36.88,38.7,34.93,35.78,"1,00,60,250"
07/21/2022,39.93,40,37.29,38.37,"92,77,796"
07/20/2022,38.5,40.41,38.35,39.69,"1,14,00,292"
07/19/2022,37.44,39.21,36.59,37.93,"1,28,27,820"
07/18/2022,36.25,37.4,35.77,36.66,"1,11,55,132"
07/15/2022,34.86,35.59,33.51,35.41,"98,32,472"
07/14/2022,34.8,37.99,34.05,34.05,"2,09,70,208"
07/13/2022,33.75,36.34,33.75,35.32,"1,37,03,788"
07-12-2022,32.7,35.65,31.82,34.28,"1,68,99,680"
07-11-2022,32.14,32.94,31.16,32.52,"75,58,344"
07-08-2022,31.67,33.17,30.63,32.14,"1,31,99,444"
07-07-2022,31.12,33.88,30.45,33.78,"3,03,13,564"
07-06-2022,30.17,30.57,28.34,29.36,"99,88,996"
07-05-2022,30.38,30.62,29.75,30.06,"60,45,760"
07-01-2022,30.28,31.29,29.82,30.86,"66,17,116"
06/30/2022,29.84,31.65,29.44,30.58,"67,18,672"
06/29/2022,30.39,31.62,29.9,30.72,"68,26,496"
06/28/2022,32.75,32.83,30.57,31.1,"66,21,596"
06/27/2022,34.12,34.26,31.83,32.42,"97,45,448"
06/24/2022,35.75,37.09,32.88,33.8,"1,69,95,764"
06/23/2022,35.41,36,34.18,35.51,"66,82,900"
06/22/2022,34.67,36.18,34.11,34.62,"78,46,916"
